quarter,name,bundleid,platform,genre,subgenre,QuarterRank,Engagement,GamePlay,CPI,UA,Rev,Eng-Rate,GPlay-Rate,CPI-Rate,UA-Rate,Rev-Rate
2020_Q3,Push'em all,com.ohmgames.smashthemall,android,Hypercasual,Hypercasual - Puzzle,4,0.18,15.03,0.3545,0.19,38427,-0.1,0.01,0.28,-0.1,-0.58
2020_Q4,Push'em all,com.ohmgames.smashthemall,android,Hypercasual,Hypercasual - Puzzle,5,0.16,12.95,0.33,0.2,31899,-0.11,-0.14,-0.07,0.05,-0.17
2020_Q3,Twisted Rods,com.oimoophoid.drophoops,android,Hypercasual,Hypercasual - Puzzle,1,0.13,6.58,0.0,0.02,5060,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q3,Death Incoming,com.oneway.Deathcoming,android,Hypercasual,Hypercasual - Puzzle,1,0.19,10.44,0.2642,0.2,80339,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q4,Death Incoming,com.oneway.Deathcoming,android,Hypercasual,Hypercasual - Puzzle,2,0.18,9.38,0.32,0.18,80370,-0.05,-0.1,0.21,-0.1,0.0
2019_Q1,Game Android,com.os.airforce,android,Arcade,Shoot 'em Up,1,0.25,20.6,0.6714,0.07,1414,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,Game Android,com.os.airforce,android,Arcade,Shoot 'em Up,2,0.27,24.88,0.7129,0.06,25955,0.08,0.21,0.06,-0.14,17.36
2019_Q3,Game Android,com.os.airforce,android,Arcade,Shoot 'em Up,3,0.28,25.27,1.2705,0.06,20630,0.04,0.02,0.78,0.0,-0.21
2019_Q4,Game Android,com.os.airforce,android,Arcade,Shoot 'em Up,4,0.26,26.9,1.4044,0.06,48409,-0.07,0.06,0.11,0.0,1.35
2020_Q1,Game Android,com.os.airforce,android,Arcade,Shoot 'em Up,5,0.24,28.88,1.3882,0.06,35696,-0.08,0.07,-0.01,0.0,-0.26
2020_Q2,Game Android,com.os.airforce,android,Arcade,Shoot 'em Up,6,0.22,30.52,1.1422,0.08,49368,-0.08,0.06,-0.18,0.33,0.38
2020_Q3,Game Android,com.os.airforce,android,Arcade,Shoot 'em Up,7,0.21,25.19,1.5069,0.09,52754,-0.05,-0.17,0.32,0.12,0.07
2020_Q4,Game Android,com.os.airforce,android,Arcade,Shoot 'em Up,8,0.22,22.6,1.5731,0.12,40597,0.05,-0.1,0.04,0.33,-0.23
2019_Q4,Stick Hero Fight - Super Dragon Battle Tournament,com.os.falcon.onegame.stickherofight,android,RPG,Fighting,1,0.19,16.3,0.1612,0.21,3602,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q1,Stick Hero Fight - Super Dragon Battle Tournament,com.os.falcon.onegame.stickherofight,android,RPG,Fighting,2,0.19,15.08,0.1797,0.17,17950,0.0,-0.07,0.11,-0.19,3.98
2020_Q2,Stick Hero Fight - Super Dragon Battle Tournament,com.os.falcon.onegame.stickherofight,android,RPG,Fighting,3,0.18,14.12,0.1709,0.14,12496,-0.05,-0.06,-0.05,-0.18,-0.3
2020_Q3,Stick Hero Fight - Super Dragon Battle Tournament,com.os.falcon.onegame.stickherofight,android,RPG,Fighting,4,0.17,15.4,0.1973,0.12,8370,-0.06,0.09,0.15,-0.14,-0.33
2019_Q1,1943,com.os.wars.squadron,android,Arcade,Shoot 'em Up,1,0.24,11.29,0.7221,0.08,15961,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,1943,com.os.wars.squadron,android,Arcade,Shoot 'em Up,2,0.21,18.15,0.7566,0.07,10661,-0.12,0.61,0.05,-0.12,-0.33
2019_Q3,1943,com.os.wars.squadron,android,Arcade,Shoot 'em Up,3,0.19,16.35,0.7851,0.06,5290,-0.1,-0.1,0.04,-0.14,-0.5
2019_Q4,1943,com.os.wars.squadron,android,Arcade,Shoot 'em Up,4,0.18,18.03,0.7936,0.07,6351,-0.05,0.1,0.01,0.17,0.2
2020_Q1,1943,com.os.wars.squadron,android,Arcade,Shoot 'em Up,5,0.2,20.39,0.706,0.08,3609,0.11,0.13,-0.11,0.14,-0.43
2020_Q2,1943,com.os.wars.squadron,android,Arcade,Shoot 'em Up,6,0.18,19.47,0.5919,0.09,3457,-0.1,-0.05,-0.16,0.12,-0.04
2020_Q3,1943,com.os.wars.squadron,android,Arcade,Shoot 'em Up,7,0.16,18.53,0.6616,0.09,2248,-0.11,-0.05,0.12,0.0,-0.35
2020_Q4,1943,com.os.wars.squadron,android,Arcade,Shoot 'em Up,8,0.15,16.93,0.6417,0.11,1511,-0.06,-0.09,-0.03,0.22,-0.33
2019_Q2,Stormfall: Saga of Survival,com.pacific.wildlands,android,RPG,Survival,1,0.37,86.72,1.7869,0.07,2580,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q3,Stormfall: Saga of Survival,com.pacific.wildlands,android,RPG,Survival,2,0.29,78.14,1.7146,0.06,2336,-0.22,-0.1,-0.04,-0.14,-0.09
2020_Q1,aint,com.painter.cutandpaint,android,Hypercasual,Hypercasual - Simulation,1,0.21,10.3,0.2116,0.25,40770,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q2,aint,com.painter.cutandpaint,android,Hypercasual,Hypercasual - Simulation,2,0.18,8.16,0.2282,0.25,37502,-0.14,-0.21,0.08,0.0,-0.08
2020_Q3,aint,com.painter.cutandpaint,android,Hypercasual,Hypercasual - Simulation,3,0.17,7.25,0.2804,0.24,20741,-0.06,-0.11,0.23,-0.04,-0.45
2020_Q4,aint,com.painter.cutandpaint,android,Hypercasual,Hypercasual - Simulation,4,0.16,6.46,0.4009,0.26,19535,-0.06,-0.11,0.43,0.08,-0.06
2020_Q1,Panda Cube Smash,com.panda.unity.blastsaga,android,Puzzle,Tile Blast,1,0.31,41.07,1.1606,0.12,19077,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q2,Panda Cube Smash,com.panda.unity.blastsaga,android,Puzzle,Tile Blast,2,0.35,46.32,1.4442,0.1,123342,0.13,0.13,0.24,-0.17,5.47
2020_Q3,Panda Cube Smash,com.panda.unity.blastsaga,android,Puzzle,Tile Blast,3,0.41,45.28,1.5358,0.1,264763,0.17,-0.02,0.06,0.0,1.15
2020_Q4,Panda Cube Smash,com.panda.unity.blastsaga,android,Puzzle,Tile Blast,4,0.32,39.54,1.5518,0.1,93329,-0.22,-0.13,0.01,0.0,-0.65
2019_Q1,Tacticool - 5v5 top-down battlefield,com.panzerdog.tacticool,android,Shooter,Tactical Shooter,1,0.29,31.83,0.8921,0.12,12679,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,Tacticool - 5v5 top-down battlefield,com.panzerdog.tacticool,android,Shooter,Tactical Shooter,2,0.27,39.07,0.8245,0.1,4277,-0.07,0.23,-0.08,-0.17,-0.66
2019_Q3,Tacticool - 5v5 top-down battlefield,com.panzerdog.tacticool,android,Shooter,Tactical Shooter,3,0.27,41.11,0.7973,0.11,12584,0.0,0.05,-0.03,0.1,1.94
2019_Q4,Tacticool - 5v5 top-down battlefield,com.panzerdog.tacticool,android,Shooter,Tactical Shooter,4,0.22,47.77,1.1055,0.12,6580,-0.19,0.16,0.39,0.09,-0.48
2020_Q1,Tacticool - 5v5 top-down battlefield,com.panzerdog.tacticool,android,Shooter,Tactical Shooter,5,0.21,49.94,0.9798,0.13,4831,-0.05,0.05,-0.11,0.08,-0.27
2020_Q3,Tacticool - 5v5 top-down battlefield,com.panzerdog.tacticool,android,Shooter,Tactical Shooter,6,0.2,49.25,1.1233,0.14,10087,-0.05,-0.01,0.15,0.08,1.09
2019_Q1,Drive and Park,com.parking.game,android,Hypercasual,Hypercasual - Traversal,1,0.25,4.69,0.303,0.14,103227,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,Drive and Park,com.parking.game,android,Hypercasual,Hypercasual - Traversal,2,0.24,7.34,0.32,0.11,31279,-0.04,0.57,0.06,-0.21,-0.7
2019_Q3,Drive and Park,com.parking.game,android,Hypercasual,Hypercasual - Traversal,3,0.23,6.88,0.3197,0.13,15864,-0.04,-0.06,-0.0,0.18,-0.49
2019_Q4,Drive and Park,com.parking.game,android,Hypercasual,Hypercasual - Traversal,4,0.21,6.43,0.2723,0.19,23470,-0.09,-0.07,-0.15,0.46,0.48
2020_Q1,Drive and Park,com.parking.game,android,Hypercasual,Hypercasual - Traversal,5,0.23,6.1,0.2412,0.22,21349,0.1,-0.05,-0.11,0.16,-0.09
2020_Q2,Drive and Park,com.parking.game,android,Hypercasual,Hypercasual - Traversal,6,0.23,5.64,0.2175,0.21,8822,0.0,-0.08,-0.1,-0.05,-0.59
2020_Q3,Drive and Park,com.parking.game,android,Hypercasual,Hypercasual - Traversal,7,0.22,6.1,0.2218,0.23,4374,-0.04,0.08,0.02,0.1,-0.5
2020_Q4,Drive and Park,com.parking.game,android,Hypercasual,Hypercasual - Traversal,8,0.2,5.93,0.2202,0.23,2799,-0.09,-0.03,-0.01,0.0,-0.36
2020_Q3,Swing loop,com.parkour.swing,android,Hypercasual,Hypercasual - Racing,1,0.23,11.57,0.2544,0.21,19165,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q4,Swing loop,com.parkour.swing,android,Hypercasual,Hypercasual - Racing,2,0.21,10.08,0.2954,0.21,27431,-0.09,-0.13,0.16,0.0,0.43
2020_Q1,kour,com.parkourrace.game,android,Hypercasual,Hypercasual - Racing,1,0.25,11.37,0.2332,0.19,64567,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q2,kour,com.parkourrace.game,android,Hypercasual,Hypercasual - Racing,2,0.23,9.25,0.2616,0.15,76303,-0.08,-0.19,0.12,-0.21,0.18
2020_Q3,kour,com.parkourrace.game,android,Hypercasual,Hypercasual - Racing,3,0.2,8.64,0.2671,0.18,26733,-0.13,-0.07,0.02,0.2,-0.65
2020_Q4,kour,com.parkourrace.game,android,Hypercasual,Hypercasual - Racing,4,0.2,8.81,0.3498,0.21,23499,0.0,0.02,0.31,0.17,-0.12
2020_Q3,Cinema Tycoon,com.paulaugustel.cinematycoon,android,Simulation,Tycoon / Crafting,1,0.23,12.49,0.3739,0.12,6829,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q4,Cinema Tycoon,com.paulaugustel.cinematycoon,android,Simulation,Tycoon / Crafting,2,0.19,10.24,0.4324,0.18,3140,-0.17,-0.18,0.16,0.5,-0.54
2020_Q2,the cook142324,com.pd.thecook,android,Hypercasual,Hypercasual - Simulation,1,0.2,11.02,0.2764,0.16,63480,-1.0,-1.0,-1.0,-1.0,-1.0
